,register_id,Name,Neighborhood ID,Neighborhood Name,District ID,District Name,Service Type,Latitude,Longitude
282,﻿92168165521,Escola Lavínia,19.0,les Corts,4.0,Les Corts,"Ensenyament infantil (3-6 anys), Educació primària",41.38162785445061,2.130186146369242
284,﻿92168165526,Institut Escola Tres Fonts de les Corts,19.0,les Corts,4.0,Les Corts,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.38419074883434,2.128639170001322
287,﻿99400145634,Institut de Recerca Vall d'Hebron,40.0,Montbau,7.0,Horta-Guinardó,Universitats,41.42804943371883,2.1434499797388105
288,﻿99400145664,Servei de Desenvolupament del Medicament,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.385407598236654,2.122169228198821
289,﻿99400145676,Unitat de Recerca en Informàtica Biomèdica,3.0,la Barceloneta,1.0,Ciutat Vella,Universitats,41.38562087271976,2.1960871806342315
290,﻿92168165588,Escola Mallorca,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.3914113999224,2.1483083211249405
292,﻿99400145678,Unitat d'Investigació Biofarmacèutica i Farmacocinètica,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38530880058172,2.1222064371428457
293,﻿92168165598,Institut Mare de Déu de la Mercè,12.0,la Marina del Prat Vermell,3.0,Sants-Montjuïc,Formació professional,41.3498881916577,2.144278261786436
294,﻿97162135500,Institut Escola Artístic Oriol Martorell,48.0,la Guineueta,8.0,Nou Barris,"Educació primària, Educació secundària, Música",41.44138154205598,2.1728038734254254
297,﻿99400256922,Centro de Estudios de Nuevas Técnicas Estéticas,2.0,el Barri Gòtic,1.0,Ciutat Vella,Formació professional,41.3820927603217,2.1768499537814496
298,﻿92168165305,Escola de Música Joan Llongueres,31.0,la Vila de Gràcia,6.0,Gràcia,Música,41.39687675793019,2.1561672197184523
299,﻿92168165417,Escola  de les Aigües,33.0,el Baix Guinardó,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.40844003176645,2.1669119630500093
301,﻿92168165478,Escola de Musica i Arts Escèniques Musicart 102,51.0,Verdun,8.0,Nou Barris,Música,41.443095613027936,2.172204281156008
302,﻿92168165480,Centre Educatiu Vedruna Immaculada Barcelona,6.0,la Sagrada Família,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40727517438066,2.181291188299981
305,﻿99400084532,IQS School of Engineering - URL,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,Universitats,41.40379591152728,2.1194605457742592
306,﻿92086029405,Centre de Transferència de Tecnologia de la Universitat Politècnica de Catalunya,21.0,Pedralbes,4.0,Les Corts,Universitats,41.39044758234289,2.1144064064040826
307,﻿99400145452,Centre de Tecnologies Avançades en Química Fina i Síntesi Assimètrica,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.382649395415946,2.1145343363203266
308,﻿99400145499,Centre de Recerca en Economia Financera,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Universitats,41.38924681822701,2.190983335170805
309,﻿99400145502,Centre d'Estudis de Risc Tecnològic,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38489994951897,2.115249564660417
310,﻿99400145518,"Centre de Recerca i Investigació de Catalunya, S.A.",22.0,"Vallvidrera, el Tibidabo i les Planes",5.0,Sarrià-Sant Gervasi,Universitats,41.42553674649396,2.094850391129139
311,﻿99400145509,Centre d'Integritat Estructural i Fiabilitat de Materials,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38466042213047,2.115170778876513
312,﻿99400145563,Innova de la Universitat Politècnica de Catalunya,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38795303595182,2.1148652528365357
313,﻿99400145598,Institut de Recerca en Economia Aplicada Regional i Pública,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38569213816947,2.114967953157307
314,﻿93081132442,Centre Educatiu Sagrada Família *Avinyó,2.0,el Barri Gòtic,1.0,Ciutat Vella,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària",41.381124110699375,2.1767531127731368
317,﻿93083135056,Centre Educatiu Molina,48.0,la Guineueta,8.0,Nou Barris,"Educació secundària, Formació professional",41.4381409225732,2.172442818299853
319,﻿99047094944,Servei Crei-Mundet,40.0,Montbau,7.0,Horta-Guinardó,Universitats,41.43575541409688,2.147158169831797
320,﻿92168166156,Centre Educatiu FEP Sant Medir,16.0,la Bordeta,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.36993851664151,2.1378928721475967
323,﻿92086015466,Aula de Música,68.0,el Poblenou,10.0,Sant Martí,Música,41.401133285382,2.200145848591939
324,﻿92168166172,Centre Educatiu San Rafael,72.0,Sant Martí de Provençals,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.421055653974776,2.1990702860756914
326,﻿92086038344,Institut Universitari d'Història Jaume Vicens Vives,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Universitats,41.38924681822701,2.190983335170805
327,﻿99400186358,Escola de Música Accent,6.0,la Sagrada Família,2.0,Eixample,Música,41.40639319349842,2.17833277147071
328,﻿99400153330,Secretaria,71.0,Provençals del Poblenou,10.0,Sant Martí,Universitats,41.40649003199119,2.19451883908909
329,﻿92168165027,Escola Estel-Guinardó,35.0,el Guinardó,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.41755241454136,2.172606246971933
331,﻿92168165129,Institut Flos i Calcat,45.0,Porta,8.0,Nou Barris,"Educació secundària, Formació professional",41.43819404222232,2.182237500103421
333,﻿92168165133,Escola Font d'en Fargas,36.0,la Font d'en Fargues,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.42266294217902,2.165237995113779
335,﻿92168165166,Centre Educatiu Garbiñe,13.0,la Marina de Port,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària",41.36507231839673,2.1373353221576155
337,﻿92168165174,Escola  Prim,70.0,el Besòs i el Maresme,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.42016599271571,2.2118106773514707
339,﻿95317132640,Centre de  Recerca en Economia Internacional,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Universitats,41.38924681822701,2.190983335170805
340,﻿99400155626,Escola de Polítiques Socials i Urbanes,47.0,Can Peguera,8.0,Nou Barris,Universitats,41.43634697822765,2.1649198810016106
341,﻿92168165517,Centre Educatiu Laia,60.0,Sant Andreu,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.429257050664624,2.18944476551275
343,﻿92168165557,Institut Lluïsa Cura,10.0,Sant Antoni,2.0,Eixample,Formació professional,41.38084909970436,2.163206607694735
344,﻿92168165579,Escola el Turó,46.0,el Turó de la Peira,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.43150904588072,2.171035538569442
346,﻿95195114710,Aula de Poesia de Barcelona,40.0,Montbau,7.0,Horta-Guinardó,Universitats,41.43575541409688,2.147158169831797
347,﻿95303133748,Facultat d'Humanitats - UPF,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,Universitats,41.38924681822701,2.190983335170805
348,﻿99400159946,Centre Educatiu Colomer,15.0,Hostafrancs,3.0,Sants-Montjuïc,Formació professional,41.3738740636486,2.142231847171299
349,﻿94020141549,Escola Octavio Paz,63.0,Navas,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.41441952422686,2.189275790172815
351,﻿99400264870,Centre de Coneixement i Recerca,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,Universitats,41.38563498781616,2.181624647512792
352,﻿92086010664,Escola Superior d'Administració i Direcció d'Empreses - URL,21.0,Pedralbes,4.0,Les Corts,Universitats,41.39374137478776,2.11450041725389
353,﻿99400694716,Institut de Ciències del Cosmos,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38506372270051,2.1179021240670406
354,﻿93064110448,Centre Educatiu Grup Escolar Roca,63.0,Navas,9.0,Sant Andreu,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària",41.41958729626797,2.186632034178383
357,﻿92168165599,Escola Segre,60.0,Sant Andreu,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.43359527001918,2.1931008578878304
359,﻿92168165601,Escola Mare de Déu de Montserrat *Natzaret,39.0,Sant Genís dels Agudells,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.426139197286666,2.135799470179093
361,﻿92168165611,Escola Mare Nostrum,43.0,Horta,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.43676676062335,2.154631703068711
363,﻿92168165614,Centre Educatiu Madres Concepcionistas de la Enseñanza,27.0,el Putxet i el Farró,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40476698451717,2.1491772544468377
366,﻿92168165642,Escola Mestre Morera,55.0,Ciutat Meridiana,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.45957621396604,2.167750181482561
368,﻿92168165713,Institut Narcís Monturiol *Salvat Papasseit,3.0,la Barceloneta,1.0,Ciutat Vella,Formació professional,41.38129370288954,2.1928066401883046
369,﻿92168165757,Centre Educatiu Nostra Senyora de Lurdes,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària",41.40033102573054,2.150769811574501
371,﻿92168153014,Centre Educatiu Verns,72.0,Sant Martí de Provençals,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.42009180785798,2.200609775325304
373,﻿96283201450,Centre Educatiu Jesuïtes Gràcia-Kostka,30.0,la Salut,6.0,Gràcia,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.41435733730391,2.157239969018296
377,﻿92168164500,Escola Baldiri Reixac,30.0,la Salut,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària",41.41350925781701,2.153127208234728
379,﻿92168164513,Escola Barcelona,19.0,les Corts,4.0,Les Corts,"Ensenyament infantil (3-6 anys), Educació primària",41.381944925333066,2.132054213499209
381,﻿92168165605,Centre Educatiu FEDAC-Amílcar,44.0,Vilapicina i la Torre Llobeta,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.4298120042124,2.171942057155249
384,﻿92168165660,Escola Marta Mata,51.0,Verdun,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.44244762796052,2.176593525490849
386,﻿92168164520,Escola Baró de Viver,58.0,Baró de Viver,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.44563141015522,2.200149035995936
388,﻿92168165664,Centre Educatiu Mireia,5.0,el Fort Pienc,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.39356449302054,2.178739970597406
391,﻿92168164575,Centre Educatiu FEP Bon Pastor,59.0,el Bon Pastor,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.4358210969372,2.2043881481899392
394,﻿92168164610,Centre Educatiu Camí,44.0,Vilapicina i la Torre Llobeta,8.0,Nou Barris,"Educació primària, Educació secundària",41.42960909260782,2.18094548702929
396,﻿92168164635,Escola Carlit,7.0,la Dreta de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.39740303522081,2.174727656268046
398,﻿93071120222,Escola Universitària d'Enginyeria Tècnica de Telecomunicació La Salle - URL,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,Universitats,41.40624012732789,2.132487589410652
399,﻿93134110610,Escola Ferrer i Guàrdia,55.0,Ciutat Meridiana,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.46142126589523,2.1748080816690414
401,﻿92168165387,Escola Jaume I,18.0,Sants,3.0,Sants-Montjuïc,"Ensenyament infantil (3-6 anys), Educació primària",41.38075184493496,2.138124523946372
403,﻿92168165397,Centre Educatiu Jesús i Maria *Passeig Sant Gervasi,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40962676260745,2.1321227367298
406,﻿92168165404,Escola Joan Miró,9.0,la Nova Esquerra de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.378493776815,2.1510066981241054
408,﻿92168165463,Centre Educatiu L'Horitzó,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40608829911722,2.1326548774425214
412,﻿92168165995,Escola Rius i Taulet,28.0,Vallcarca i els Penitents,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària",41.40792382701724,2.150396876575529
414,﻿92168166000,Centre Educatiu IFPS Roger de Llúria,66.0,el Parc i la Llacuna del Poblenou,10.0,Sant Martí,Formació professional,41.39175451472616,2.188968109310081
415,﻿92168166019,Centre Educatiu Sil,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.4128346281528,2.135335506245646
419,﻿92168166030,Centre Educatiu Sagrado Corazón *Eduardo Conde,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.39299329781557,2.121181097169087
423,﻿99400694731,Institut de Recerca Biomèdica,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38184573119936,2.116442974830661
424,﻿98350155720,Seminari Interdisciplinar 'Mujeres y Sociedad',1.0,el Raval,1.0,Ciutat Vella,Universitats,41.38403193047776,2.167331566974877
425,﻿99400717078,IBP Formació Professional,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Formació professional,41.38758030951558,2.1521632756748805
426,﻿92168164903,Escola Doctor Ferran i Clua,62.0,el Congrés i els Indians,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.42401480894652,2.179437759725011
428,﻿92168164913,Escola Drassanes,2.0,el Barri Gòtic,1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària",41.37910824062923,2.177284995740368
430,﻿92168164969,Escola els Pins,40.0,Montbau,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.435759593982205,2.147163094335721
432,﻿92168164972,Escola Emili Juncadella,63.0,Navas,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.41807860569787,2.1814264205076483
434,﻿92168164975,Escola Bac de Roda,72.0,Sant Martí de Provençals,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.41596635435773,2.194100196799017
436,﻿92168164999,Centre Educatiu Escola Pia Balmes,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.39783092155686,2.1518796261106825
439,﻿92168165009,Escola Pia de Sarrià-Calassanç,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40676676957799,2.1244102505399765
442,﻿94073143449,Facultat de Dret  ESADE - URL,21.0,Pedralbes,4.0,Les Corts,Universitats,41.39460257715366,2.1148077954176467
443,﻿92086021895,Institut Nacional d'Educació Física de Catalunya *Barcelona,11.0,el Poble-sec,3.0,Sants-Montjuïc,Universitats,41.36537462912623,2.146913285556539
444,﻿301181529,Institut de Recerca CEPBA-IBM,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38790151896208,2.1146704334958524
445,﻿92168165153,Institut Francisco de Goya,35.0,el Guinardó,7.0,Horta-Guinardó,Educació secundària,41.42213093143702,2.169276061235553
446,﻿92086002012,Facultat d'Economia i Empresa - UB,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38569213816947,2.114967953157307
447,﻿94279121655,Universitat Oberta de Catalunya,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,Universitats,41.41503478757256,2.1330244628789514
448,﻿93111145422,Escola La Pau,73.0,la Verneda i la Pau,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.42417941545302,2.209540076522833
450,﻿92086008432,Centre de Formació Professional Pejoan,7.0,la Dreta de l'Eixample,2.0,Eixample,Formació professional,41.39905344965265,2.1647388815799173
451,﻿92168166203,Escola Santiago Rusiñol,52.0,la Prosperitat,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.4398443007178,2.1811162682851
453,﻿92168166287,Escola Turó Blau,60.0,Sant Andreu,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.428076696210304,2.191187503130866
455,﻿92168166292,Escola Tibidabo,52.0,la Prosperitat,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.442555073166815,2.1829332651530327
457,﻿92168166348,Centre Educatiu Vedruna Àngels Barcelona,1.0,el Raval,1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.38312857706076,2.1677899514729404
460,﻿99400639116,Institut Angeleta Ferrer,5.0,el Fort Pienc,2.0,Eixample,Educació secundària,41.4004186757127,2.1791455422355464
461,﻿75990032092,Centre Educatiu FEDAC-Horta,43.0,Horta,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.43452514687176,2.1551992543615426
464,﻿92086010051,Institut Tècniques Energètiques,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38423831335687,2.115331979222668
465,﻿92086002018,Consell Superior d'Investigacions Científiques,1.0,el Raval,1.0,Ciutat Vella,Universitats,41.38090961484458,2.168896630424564
466,﻿92086002027,Escola Tècnica Superior d'Enginyeria de Telecomunicació - UPC,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38733372682784,2.112437167186739
467,﻿92086002046,Institut les Corts,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Educació secundària,41.38132561415536,2.126255053704741
468,﻿99400681792,Escola Superior de Disseny Campusnet,19.0,les Corts,4.0,Les Corts,Formació professional,41.38872671890697,2.1381210907130104
469,﻿1081092719,Escola Ferran Sunyer,10.0,Sant Antoni,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.37593604478161,2.1631899655131503
471,﻿92086001517,Institut Verdaguer,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,Educació secundària,41.38737945873459,2.186898929399237
472,﻿92086005087,Institut Joan d'Àustria,72.0,Sant Martí de Provençals,10.0,Sant Martí,"Educació secundària, Formació professional",41.41592948460128,2.198888496942657
474,﻿99400061931,Centre Educatiu  English School Barcelona,28.0,Vallcarca i els Penitents,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.4186727574625,2.1429786867442
477,﻿92086007703,Centre Educatiu Mare de Déu del Coll,29.0,el Coll,6.0,Gràcia,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.42016221739847,2.1511102583797514
480,﻿98308161840,Escola Amalgama,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,Música,41.39744150357215,2.1232416262916383
481,﻿92086030202,Centre de Política de Sòl i Valoracions,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38442305045343,2.113368872832767
482,﻿92086009589,Conservatori Municipal de Música de Barcelona,7.0,la Dreta de l'Eixample,2.0,Eixample,Música,41.39590030798757,2.1680371208078077
483,﻿99400075762,Escola Pere IV,68.0,el Poblenou,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.40500740562774,2.200442388310342
485,﻿99400038099,Escola L'Arenal de Llevant,68.0,el Poblenou,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.40296309686819,2.209253322608713
487,﻿75990330707,Escola de Música Tarantel·la,18.0,Sants,3.0,Sants-Montjuïc,Música,41.38073550514029,2.135577672628968
488,﻿75990131419,Centre Educatiu Solc,21.0,Pedralbes,4.0,Les Corts,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.38995903223211,2.106635102306285
491,﻿98203130247,Facultat de Turisme i Direcció Hotelera  Sant Ignasi - URL,21.0,Pedralbes,4.0,Les Corts,Universitats,41.39460257715366,2.1148077954176467
492,﻿92086016109,Escola Superior de Relacions Públiques,10.0,Sant Antoni,2.0,Eixample,Universitats,41.377331253656905,2.154888726076305
493,﻿92086005269,Institut Químic de Sarrià - Campus Sarrià - IQS,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,Universitats,41.40379591152728,2.1194605457742592
494,﻿92168165607,Centre Educatiu Mare del Diví Pastor,7.0,la Dreta de l'Eixample,2.0,Eixample,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.39357872583796,2.175430412133301
498,﻿92168165632,Escola Mas Casanovas,33.0,el Baix Guinardó,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.4135134548639,2.1708476352880903
500,﻿92168165666,Centre Educatiu Miró,71.0,Provençals del Poblenou,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.41322161949374,2.209085844710352
502,﻿92086002474,Facultat d'Educació - UB,40.0,Montbau,7.0,Horta-Guinardó,Universitats,41.4353977782998,2.1451898455955827
503,﻿92086004627,Institut Moisès Broggi,64.0,el Camp de l'Arpa del Clot,10.0,Sant Martí,"Educació secundària, Formació professional",41.413421268120864,2.178326828046783
505,﻿12134410,Centre Educatiu Amor de Dios,46.0,el Turó de la Peira,8.0,Nou Barris,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.43186852879052,2.1673630725929494
509,﻿1130210851,Institut d'Economia de Barcelona,21.0,Pedralbes,4.0,Les Corts,Universitats,41.386977291918406,2.116047632518847
510,﻿98272164940,Centre Educatiu Cintra,1.0,el Raval,1.0,Ciutat Vella,Educació secundària,41.37812640198185,2.168539245437845
511,﻿99400100466,Programa Dona,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38939609467136,2.1174732071947022
512,﻿92086000313,Institut Montjuïc,13.0,la Marina de Port,3.0,Sants-Montjuïc,Educació secundària,41.35547421887749,2.1452310044894904
513,﻿99400159557,Centre d'Estudis Universitat dels Pacients,35.0,el Guinardó,7.0,Horta-Guinardó,Universitats,41.41241647123583,2.1757600481895056
514,﻿99400105772,Centre d'Estudis Musicals A Tempo,19.0,les Corts,4.0,Les Corts,Música,41.38328011658352,2.1304059992162108
515,﻿92086003697,Facultat de Filologia i Comunicació - UB,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38657708352391,2.164030568391206
516,﻿92086003705,Facultat de Matemàtiques i Informàtica - UB,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Universitats,41.38657708352391,2.164030568391206
517,﻿92086001932,Facultat de Geografia i Història - UB,1.0,el Raval,1.0,Ciutat Vella,Universitats,41.38403193047776,2.167331566974877
518,﻿92086001938,Facultat de Belles Arts - UB,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38312349424735,2.1139823906208206
519,﻿96261160143,Institut XXV Olimpíada,14.0,la Font de la Guatlla,3.0,Sants-Montjuïc,Educació secundària,41.37011288396194,2.148834590166746
520,﻿99400188451,SMOS Barcelona Expert Centre,3.0,la Barceloneta,1.0,Ciutat Vella,Universitats,41.38562087271976,2.1960871806342315
521,﻿99400197947,Escola La Maquinista,59.0,el Bon Pastor,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.4390119909961,2.195800264029226
523,﻿99400145674,Laboratori d'Enginyeria Marítima,21.0,Pedralbes,4.0,Les Corts,Universitats,41.38930399355781,2.115789578332347
524,﻿99400264830,Institut Escola Turó de  Roquetes,50.0,les Roquetes,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.44647404453238,2.1728361106817555
527,﻿97339100213,Centre Educatiu Jesuïtes Sarrià - Sant Ignasi,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària, Formació professional",41.40296270967555,2.121510655906228
532,﻿266121351,Institut d'Educació Secundària i Artística,11.0,el Poble-sec,3.0,Sants-Montjuïc,Educació secundària,41.37140342180358,2.157542746806441
533,﻿75990172119,Centre Educatiu Santapau-Pifma,45.0,Porta,8.0,Nou Barris,Formació professional,41.431466157998415,2.1767371149458734
534,﻿92086002009,Facultat de Física - UB,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38489994951897,2.115249564660417
535,﻿92086002050,Càtedra Gaudí - ETSAB - UPC,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.384423505592665,2.113370660627247
536,﻿99400075761,Escola Eulàlia Bota,60.0,Sant Andreu,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.44463333487745,2.192574438289911
538,﻿99400030841,Fundació Barcelona Media - Centre d'Innovació,66.0,el Parc i la Llacuna del Poblenou,10.0,Sant Martí,Universitats,41.404425080209855,2.1936694239353693
539,﻿93064102259,Centre Educatiu Peter Pan,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària",41.40513785348436,2.121488906041987
541,﻿95317132856,Institut d'Estudis Territorials,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,Universitats,41.38503131976485,2.185753641665234
542,﻿92168165500,Centre Educatiu La Salle Barceloneta,3.0,la Barceloneta,1.0,Ciutat Vella,Formació professional,41.3821988018784,2.1893006019115258
543,﻿92168165507,Centre Educatiu La Salle Horta,43.0,Horta,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.43653263980817,2.1609639013656685
546,﻿92168165560,Centre Educatiu López Vicuña,7.0,la Dreta de l'Eixample,2.0,Eixample,Formació professional,41.39489435492012,2.1705527267250275
547,﻿92168165572,Centre Educatiu Escola Pia - Luz Casanova,51.0,Verdun,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.44314723594106,2.175250527458289
550,﻿93075102709,School of Management - IQS,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,Universitats,41.40379591152728,2.1194605457742592
551,﻿93075115200,Centre Educatiu Montserrat *Av. Vallvidrera,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.409416632994734,2.1106754383686037
555,﻿92168165873,Institut Pau Claris,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,Educació secundària,41.39128260500432,2.18134710585921
556,﻿92168165897,Escola Pit-Roig,36.0,la Font d'en Fargues,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.42357727859375,2.1703729800114075
558,﻿92168165905,Institut Poblenou,68.0,el Poblenou,10.0,Sant Martí,Formació professional,41.39834967946906,2.2033135649478446
559,﻿98314161904,Escola de Música Marshall,27.0,el Putxet i el Farró,5.0,Sarrià-Sant Gervasi,Música,41.401437177199085,2.150007289734474
560,﻿97315165802,Centre Educatiu Thuya,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,"Adults, Formació professional",41.40574103739798,2.136824035870799
562,﻿96073124544,Institut Salvador Espriu,65.0,el Clot,10.0,Sant Martí,Educació secundària,41.40557278654692,2.1879601974840224
